x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
24,3,22,3,21,2,11,2,9,1,6,1,3,0,0,0,-4,-2,-7,-2,-9,-3,-11,-1,-14,-1,-24,0,-28,0,1,0,0,0,0
31,0,29,-2,20,0,19,-1,15,-1,12,-2,0,1,-5,1,-9,1,-11,1,-14,3,-18,2,-21,-1,-24,1,-31,1,1,0,0,0,0
-40,-4,-37,-3,-33,-3,-22,1,-19,-6,-14,0,-8,2,-5,3,4,1,15,-4,18,1,24,-1,28,2,41,3,49,2,1,0,0,0,0
8,-1,7,-1,6,-1,5,0,4,0,2,0,2,0,1,0,1,-1,-2,0,-3,0,-4,0,-9,0,-10,1,-12,1,1,0,0,0,0
11,0,11,-1,10,-1,9,-1,9,-1,7,-2,3,0,0,-1,-2,1,-4,0,-7,0,-7,2,-13,0,-16,0,-17,-1,1,0,0,0,0
-32,1,-27,0,-25,1,-22,0,-20,0,-17,1,-6,0,-3,-1,1,-1,7,-1,17,-1,22,-1,29,-1,32,-1,47,1,1,0,0,0,0
13,1,11,0,8,0,6,0,5,0,5,0,1,-1,-1,0,-2,0,-4,0,-5,-1,-6,-1,-7,-1,-8,-1,-9,-2,1,0,0,0,0
13,0,8,0,7,1,5,1,4,0,3,0,3,0,3,0,-1,0,-3,0,-4,0,-7,1,-8,0,-9,0,-11,0,1,0,0,0,0
-10,0,-7,1,-6,0,-5,0,-3,-1,-2,0,-1,-1,0,0,0,0,1,0,3,0,4,0,6,0,7,0,10,0,1,0,0,0,0
14,-2,14,-2,13,-2,11,-2,6,0,4,2,2,0,0,2,-3,1,-6,3,-7,1,-8,-3,-10,1,-11,0,-13,0,1,0,0,0,0
